Date;Time;Temperature_IN;Humidity_IN;Temperature_OUT;Humidity_OUT;Wind_speed
29/05/2024;22:56:19;23.70;42.00;24.00;38.00;0.00 
29/05/2024;19:56:19;50.70;50.00;30.00;13.00;20.00
27/05/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
26/05/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
26/05/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
26/05/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
22/03/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
29/04/2024;19:56:19;50.70;50.00;30.00;13.00;20.00
27/03/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
26/06/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
26/07/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
26/07/2024;19:56:19;50.70;50.00;30.00;13.00;20.00 
22/07/2024;19:56:19;50.70;50.00;30.00;13.00;20.00
29/05/2024;20:50:41;24.80;38.00;24.80;36.00;0.00
29/05/2024;20:50:44;24.80;38.00;24.80;36.00;0.00
29/05/2024;20:50:46;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:48;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:50;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:51;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:53;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:55;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:58;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:50:59;24.70;39.00;24.80;36.00;0.00
29/05/2024;20:51:02;24.70;39.00;24.80;36.00;0.00
29/05/2024;20:51:03;24.70;39.00;24.80;36.00;0.00
29/05/2024;20:51:06;24.70;39.00;24.80;36.00;0.00
29/05/2024;20:51:07;24.70;38.00;24.80;36.00;0.00
29/05/2024;20:51:10;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:11;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:14;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:15;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:18;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:19;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:21;24.70;38.00;24.70;36.00;0.00
29/05/2024;20:51:23;24.70;39.00;24.70;36.00;0.00
29/05/2024;20:51:25;24.70;39.00;24.70;36.00;0.00
29/05/2024;20:51:28;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:30;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:32;24.60;38.00;24.70;36.00;0.00
29/05/2024;20:51:34;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:35;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:37;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:39;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:42;24.60;39.00;24.70;36.00;0.00
29/05/2024;20:51:43;24.60;39.00;24.60;36.00;0.00
29/05/2024;20:51:45;24.60;39.00;24.60;36.00;0.00
29/05/2024;20:51:47;24.60;39.00;24.60;36.00;0.00
29/05/2024;20:51:50;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:51:51;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:51:53;24.60;39.00;24.60;36.00;0.00
29/05/2024;20:51:56;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:51:58;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:00;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:01;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:04;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:05;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:07;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:10;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:12;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:14;24.60;38.00;24.60;36.00;0.00
29/05/2024;20:52:16;24.50;39.00;24.60;36.00;0.00
29/05/2024;20:52:18;24.50;39.00;24.60;36.00;0.00
29/05/2024;20:52:20;24.50;39.00;24.60;36.00;0.00
29/05/2024;20:52:22;24.50;39.00;24.60;36.00;0.00
29/05/2024;20:52:24;24.50;39.00;24.60;36.00;0.00
